combined_id,slab_number,batch_number,material_name,colour_family,size_mm,thickness_mm,finish,location,received_date,notes
06835/6403,06835,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
006837/6403,006837,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
04180/9082,04180,9082,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
04191/6326,04191,6326,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
04204/9082,04204,9082,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06748/6403,06748,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06836/6403,06836,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06838/6403,06838,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06840/6403,06840,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06842/6403,06842,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06843/6403,06843,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06844/6403,06844,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06845/6403,06845,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06848/6403,06848,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06890/6403,06890,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06895/6403,06895,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06902/6403,06902,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06904/6403,06904,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06906/6403,06906,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06911/6403,06911,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06913/6403,06913,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
6874/6403,6874,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
6875/6403,6875,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
6876/6403,6876,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
6893/6403,6893,6403,Apollo Jumbo,,3200x1570,20,,Bellagio Yard,,
6894/6403,6894,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
6905/6403,6905,6403,Apollo Jumbo,,3200x1600,20,,Bellagio Yard,,
06776/6400,06776,6400,Apollo Super Jumbo,,3450x1940,20,,Bellagio Yard,,
02318/6264,02318,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
02321/6264,02321,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
02325/6264,02325,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
02328/6264,02328,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
02337/6264,02337,6264,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
03509/6308,03509,6308,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16275/6077,16275,6077,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16561/6099,16561,6099,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
16562/6099,16562,6099,Apollo Super Jumbo,,3450x1940,30,,Bellagio Yard,,
01571/6336,01571,6336,Black  Mirror Jumbo,,3200x1600,20,,Bellagio Yard,,
01577/6336,01577,6336,Black  Mirror Jumbo,,3200x1600,20,,Bellagio Yard,,
6443/5981,6443,5981,Black Mirror Jumbo,,3200x1600,20,,Bellagio Yard,,
7863/6083,7863,6083,Black Mirror Jumbo,,3200x1600,20,,Bellagio Yard,,
872/5644,872,5644,Black Mirror Jumbo,,3200x1600,30,,Bellagio Yard,,
971/5618,971,5618,Black Mirror Super Jumbo,,3450x1940,30,,Bellagio Yard,,
974/5618,974,5618,Black Mirror Super Jumbo,,3450x1940,30,,Bellagio Yard,,
28426,28426,,Calacatta Emerald,,3200x1600,20,,Bellagio Yard,,
28426,28426,,Calacatta Emerald,,3200x1600,20,,Bellagio Yard,,
28426,28426,,Calacatta Emerald,,3200x1600,20,,Bellagio Yard,,
28426,28426,,Calacatta Emerald,,3200x1600,20,,Bellagio Yard,,
08830/2054,08830,2054,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01813/2256,01813,2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01814/A2256,01814,A2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01818/2256,01818,2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01821/2256,01821,2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01822/2256,01822,2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01823/2256,01823,2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01827/2256,01827,2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01830/2256,01830,2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01831/A2256,01831,A2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01832/A2256,01832,A2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01833/A2256,01833,A2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01880/2256,01880,2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01883/2256,01883,2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01888/A2256,01888,A2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01891/2256,01891,2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01892/2256,01892,2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01927/A2256,01927,A2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
01931/2256,01931,2256,Calacatta Nova,,3200x1600,20,,Bellagio Yard,,
17502/A1694,17502,A1694,Calacatta Nova,,3200x1600,30,,Bellagio Yard,,
8625/5203,8625,5203,Calacatta Nova,,3200x1600,30,,Bellagio Yard,,
8675/5203,8675,5203,Calacatta Nova,,3200x1600,30,,Bellagio Yard,,
00784/2243,00784,2243,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
00785/2243,00785,2243,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
00786/2243,00786,2243,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
00787/2243,00787,2243,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
00792/2243,00792,2243,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
00794/2243,00794,2243,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
00797/2243,00797,2243,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
00799/2243,00799,2243,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
00806/2243,00806,2243,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
00808/2243,00808,2243,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
00815/2243,00815,2243,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
14471/2209,14471,2209,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
14472/2209,14472,2209,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
14474/2209,14474,2209,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
14475/2209,14475,2209,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
14476/2209,14476,2209,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
14477/2209,14477,2209,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
14482/2209,14482,2209,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
14484/2209,14484,2209,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
14485/2209,14485,2209,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
14486/2209,14486,2209,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
14488/2209,14488,2209,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
14490/2209,14490,2209,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
14491/2209,14491,2209,Calacatta Nova Super Jumbo,,3450x1940,20,,Bellagio Yard,,
14494/2209,14494,2209,Calacatta Nova Super Jumbo,,3450x1940,30,,Bellagio Yard,,
14495/2209,14495,2209,Calacatta Nova Super Jumbo,,3450x1940,30,,Bellagio Yard,,
14497/2209,14497,2209,Calacatta Nova Super Jumbo,,3450x1940,30,,Bellagio Yard,,
14505/2209,14505,2209,Calacatta Nova Super Jumbo,,3450x1940,30,,Bellagio Yard,,
14508/2209,14508,2209,Calacatta Nova Super Jumbo,,3450x1940,30,,Bellagio Yard,,
14510/2209,14510,2209,Calacatta Nova Super Jumbo,,3450x1940,30,,Bellagio Yard,,
19245/1727,19245,1727,Calacatta Nova Super Jumbo,,3450x1940,30,,Bellagio Yard,,
20231229,20231229,,Calacatta Oro,,3200x1600,20,,Bellagio Yard,,
20250302,20250302,,Calacatta Oro,,3200x1600,20,,Bellagio Yard,,
20240325,20240325,,Calacatta Oro,,3200x1600,30,,Bellagio Yard,,
05929/6371,05929,6371,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
08581/6445,08581,6445,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
08594/6445,08594,6445,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
08595/6445,08595,6445,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
08598/6445,08598,6445,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
08599/6445,08599,6445,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
08605/6445,08605,6445,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
08614/6445,08614,6445,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09021/6462,09021,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09022/6462,09022,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09023/6462,09023,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09026/6462,09026,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09029/6462,09029,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09034/6462,09034,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09035/6462,09035,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09039/6462,09039,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09041/6462,09041,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09043/6462,09043,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09044/6462,09044,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09053/6462,09053,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09054/6462,09054,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09055/6462,09055,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09056/6462,09056,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09062/6462,09062,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09063/6462,09063,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09066/6462,09066,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09067/6462,09067,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09068/6462,09068,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09069/6462,09069,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09072/6462,09072,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09074/6462,09074,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
09078/6462,09078,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
9054/6462,9054,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
9058/6462,9058,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
9064/6462,9064,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
9065/6462,9065,6462,Calacatta Venato,,3200x1600,20,,Bellagio Yard,,
13960/5994,13960,5994,Calacatta Venato,,3200x1600,30,,Bellagio Yard,,
13970/5994,13970,5994,Calacatta Venato,,3200x1600,30,,Bellagio Yard,,
13978/5994,13978,5994,Calacatta Venato,,3000x1600,30,,Bellagio Yard,,
13986/5994,13986,5994,Calacatta Venato,,3200x1600,30,,Bellagio Yard,,
02480/A1919,02480,A1919,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
07467/A2026,07467,A2026,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
07481/A2026,07481,A2026,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
07482/A2026,07482,A2026,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
23432/1831,23432,1831,Calacatta Vienna,,3200x1600,20,,Bellagio Yard,,
070/1334,070,1334,Calacatta Vienna,,3200x1600,30,,Bellagio Yard,,
14744/A1615,14744,A1615,Calacatta Vienna,,3200x1600,30,,Bellagio Yard,,
14754/A1615,14754,A1615,Calacatta Vienna,,3200x1600,30,,Bellagio Yard,,
14755/A1615,14755,A1615,Calacatta Vienna,,3200x1600,30,,Bellagio Yard,,
14762/A1615,14762,A1615,Calacatta Vienna,,3200x1600,30,,Bellagio Yard,,
19300/1205,19300,1205,Calacatta Vienna,,3200x1600,30,,Bellagio Yard,,
19315/1205,19315,1205,Calacatta Vienna,,3200x1600,30,,Bellagio Yard,,
05856/A1995,05856,A1995,Calacatta Vienna Super Jumbo,,3450x1940,20,,Bellagio Yard,,
